N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"58,000","1,000",-1.69%,100,"3,462,474","5,969,783",56.15,"18,490,386",18.15,8.69,
2,SK하이닉스,"81,500","1,400",-1.69%,"5,000","593,322","728,002",48.84,"2,027,494",25.96,4.25,
3,NAVER,"298,000",500,-0.17%,100,"489,505","164,263",55.84,"638,430",69.46,10.56,
4,LG화학,"651,000","9,000",+1.40%,"5,000","459,556","70,592",38.85,"283,855",112.22,1.84,
5,삼성바이오로직스,"685,000","48,000",+7.54%,"2,500","453,230","66,165",10.02,"190,118",131.96,4.77,
6,삼성전자우,"51,800","1,100",-2.08%,100,"426,255","822,887",86.52,"2,673,575",16.21,N/A,
7,현대차,"170,000","3,500",-2.02%,"5,000","363,236","213,668",31.17,"1,197,453",24.50,4.32,
8,셀트리온,"250,500","8,000",+3.30%,"1,000","338,159","134,994",20.66,"685,877",84.49,11.19,
9,카카오,"342,000","4,500",-1.30%,500,"301,808","88,248",31.84,"392,769",-195.43,-5.81,
10,삼성SDI,"429,500",500,-0.12%,"5,000","295,344","68,765",42.17,"200,436",157.79,2.94,
11,LG생활건강,"1,515,000","9,000",-0.59%,"5,000","236,616","15,618",45.51,"18,241",34.55,20.32,
12,현대모비스,"240,500","12,000",-4.75%,"5,000","228,607","95,055",43.17,"441,187",13.10,7.28,
13,기아차,"53,000",800,-1.49%,"5,000","214,843","405,363",38.59,"2,415,111",20.18,6.50,
14,삼성물산,"110,000","3,000",-2.65%,100,"205,576","186,887",13.75,"934,636",19.22,4.77,
15,POSCO,"210,500","5,500",-2.55%,"5,000","183,528","87,187",50.83,"326,737",20.01,4.18,
16,SK텔레콤,"222,000","7,500",-3.27%,500,"179,255","80,746",34.99,"261,991",18.22,3.92,
17,엔씨소프트,"810,000","8,000",+1.00%,500,"177,828","21,954",48.65,"59,250",34.12,14.72,
18,KB금융,"41,050","1,000",-2.38%,"5,000","170,689","415,808",65.78,"1,424,406",5.37,8.92,
19,신한지주,"31,450",50,-0.16%,"5,000","162,448","516,527",54.01,"2,474,950",4.72,9.09,
20,LG전자,"87,300","2,700",-3.00%,"5,000","142,865","163,648",35.67,"632,445",35.03,0.22,
